date,open,close,high,low,volume,money
2019-10-11,3885.52,3911.73,3922.37,3868.84,9341257700,139817298256
2019-10-14,3944.86,3953.24,3983.81,3934.73,12239361100,167857131154
2019-10-15,3953.16,3936.25,3953.16,3928.15,8527394900,125117107010
2019-10-16,3939.28,3922.69,3964.05,3919.02,8322970700,128558533503
2019-10-17,3929.39,3925.22,3935.81,3913.92,6486374500,99991850408
2019-10-18,3935.42,3869.38,3940.54,3864.97,8232114000,122186927130
2019-10-21,3865.34,3880.84,3884.74,3856.04,7418291800,110858235839
2019-10-22,3896.31,3895.88,3897.44,3870.55,6891856600,102843371160
2019-10-23,3892.68,3871.08,3901.42,3862.2,7019862500,99733598352
2019-10-24,3877.92,3870.67,3890.2,3852.58,7133457500,105096951646
2019-10-25,3871.77,3896.79,3899.72,3849.03,7745362000,126677483957
2019-10-28,3904.98,3926.59,3927.8,3897.82,9740602000,150762201736
2019-10-29,3929.71,3910.23,3932.37,3910.23,8225707500,139611420265
2019-10-30,3904.72,3891.23,3908.1,3883.45,7787292300,122610501731
2019-10-31,3906.86,3886.75,3907.15,3878.88,8671453900,135012425538
2019-11-01,3883.81,3952.39,3956.08,3876.42,10068961200,151471061323
2019-11-04,3964.01,3978.12,3985.36,3964.01,10419385500,154485361811
2019-11-05,3982.12,4002.81,4030.64,3970.87,11291188000,163317856088
2019-11-06,4006.33,3984.88,4007.5,3973.78,9731295200,139859763470
2019-11-07,3984.55,3991.87,4005.38,3975.55,8725489800,117751554346
2019-11-08,4017.67,3973.01,4022.04,3971.57,9710694800,139026673427
2019-11-11,3948.62,3902.98,3948.62,3897.55,9415562100,130330082289
2019-11-12,3905.96,3903.69,3914.88,3877.74,7654306900,108828235839
2019-11-13,3905.28,3899.98,3908.42,3882.43,7674907800,112057146508
2019-11-14,3905.93,3905.86,3916.95,3895.14,8700844600,119791566838
2019-11-15,3908.49,3877.09,3915.1,3877.09,8373091700,115423020916
2019-11-18,3874.44,3907.93,3913.1,3868.32,7664599300,107085819889
2019-11-19,3904.1,3947.04,3947.04,3902.38,8216102500,123227172612
2019-11-20,3940.13,3907.86,3943.23,3901.99,7681533300,118003062733
